,year,sentence1,sentence2,score
31,2012test,Một người đàn ông đang nhảy múa.,Một người đàn ông đang nói chuyện.,0.6
32,2012test,Một người đàn ông đang lên xe.,Một người đàn ông đang lên xe trong gara.,3.833
33,2012test,Một người đàn ông và một người phụ nữ đang hôn nhau.,Một nụ hôn nam và nữ.,5.0
34,2012test,Một con sóc đang quay vòng tròn.,Một con sóc chạy vòng quanh.,4.0
35,2012test,Một người đàn ông đang lái mô tô.,Một người đang cưỡi ngựa.,1.4
36,2012test,Một người đàn ông đang lái mô tô.,Một người đang cưỡi ngựa.,1.4
37,2012test,Một đứa trẻ chơi với một chiếc điện thoại đồ chơi.,Một cậu bé chơi với một chiếc điện thoại đồ chơi.,3.5
38,2012test,Một người đàn ông dùng rìu chặt cây.,Một người đàn ông dùng rìu chặt cây.,4.75
39,2012test,Một con mèo đang chơi một bảng chìa khóa.,Một người đàn ông đang chơi hai bàn phím.,1.6
40,2012test,Một người đàn ông đang ăn chuối cạnh một cái cây.,Một người đàn ông đang ăn chuối.,4.0
41,2012test,Một người phụ nữ cưỡi ngựa.,Một người phụ nữ đang cưỡi ngựa.,5.0
42,2012test,Một người đàn ông đang chơi trống.,Một người đàn ông chơi trống.,5.0
43,2012test,Một người phụ nữ đang thái tiêu.,Một người phụ nữ đang cắt ớt đỏ.,3.938
44,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông đang chơi trống.,1.556
45,2012test,Một người phụ nữ đang cắt hành tây.,Một người đàn ông đang cắt hành tây.,3.2
46,2012test,Một con chó liếm một đứa bé.,Một con chó đang liếm một em bé.,4.75
47,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông đang chơi guitar điện.,3.75
48,2012test,Một cậu bé đang chơi đàn phím.,Một cậu bé đang chơi bảng chìa khóa.,4.4
49,2012test,Một người đàn ông đang chơi guitar.,Một cậu bé đang chơi guitar.,3.2
50,2012test,Một cậu bé đang chơi guitar.,Một người đàn ông đang chơi guitar.,3.2
51,2012test,Một đứa trẻ đang chơi guitar.,Một cậu bé đang chơi guitar.,3.8
52,2012test,Một người đàn ông đang cắt khoai tây.,Một người đàn ông đang cắt cà rốt.,2.375
53,2012test,Một người phụ nữ đang thổi sáo.,Một người đàn ông đang chơi guitar.,1.0
54,2012test,Một người đàn ông đang chơi đàn piano.,Một người phụ nữ đang chơi violin.,1.0
55,2012test,Một người cắt một củ hành tây.,Một người đang cắt hành tây.,5.0
56,2012test,Một người đang cắt lát một quả cà chua.,Một người đang cắt lát thịt.,1.75
57,2012test,Một con hổ con đang chơi với quả bóng.,Một đứa bé đang chơi búp bê.,1.6
58,2012test,Một người phụ nữ đang chơi guitar điện.,Một người phụ nữ đang chơi guitar.,3.6
59,2012test,Một người phụ nữ đang chiên cá.,Một người phụ nữ đang nấu cá.,4.0
60,2012test,Một phụ nữ lột vỏ tôm.,Một người phụ nữ đang lột vỏ tôm.,5.0
61,2012test,Một người phụ nữ đang cắt hành tây.,Một người đàn ông đang cắt hành tây.,2.75
62,2012test,Ai đó đang tạc tượng.,Một người đàn ông đang tạc tượng.,3.75
63,2012test,Một con chó chơi ván trượt.,Một con chó đang trượt ván.,5.0
64,2012test,Một con sư tử đang đùa giỡn với con người.,Một con sư tử đang đùa giỡn với hai người.,3.4
65,2012test,Một người đàn ông đang đổ dầu vào chảo.,Một người đàn ông đang đổ dầu vào chảo.,4.2
66,2012test,Một người đang cắt bánh mì.,Một người đang cắt hành tây.,2.4
67,2012test,Một người phụ nữ đang nhảy và hát với những người phụ nữ khác.,Một người phụ nữ đang nhảy múa và hát trong mưa.,3.0
68,2012test,Người đàn ông đang chơi guitar.,Một người đàn ông đang chơi guitar.,4.909
69,2012test,Một người đàn ông đang cưỡi một con bò cơ khí.,Một người cưỡi một con bò cơ khí.,4.0
70,2012test,Một cô gái đang thả diều.,Một cô gái đang chạy đang thả diều.,4.0
71,2012test,Người phụ nữ đang chiên một miếng thịt lợn tẩm bột.,Một người phụ nữ đang nấu món sườn heo tẩm bột.,4.2
72,2012test,Một con thỏ đang chạy trốn một con đại bàng.,Một con thỏ đang chạy trốn một con đại bàng.,4.2
73,2012test,Người phụ nữ đang thổi sáo.,Một người phụ nữ đang thổi sáo.,5.0
74,2012test,Thằng bé bị ngã xe đạp.,Một cậu bé ngã khỏi xe đạp.,4.8
75,2012test,Một người phụ nữ gọt vỏ khoai tây.,Một người phụ nữ đang gọt khoai tây.,5.0
76,2012test,Một phụ nữ đang ăn gì đó.,Một người phụ nữ đang ăn thịt.,3.0
77,2012test,Một con gấu trúc đang trượt xuống một cái cầu trượt.,Một con gấu trúc trượt xuống một trang.,4.6
78,2012test,Một người đàn ông đang chơi guitar.,Một cô gái đang chơi guitar.,2.8
79,2012test,Một người đổ dầu vào nồi.,Một người rót rượu vào bình.,3.2
80,2012test,Người đàn ông đang cưỡi ngựa.,Một người đang cưỡi ngựa.,5.0
81,2012test,Một con mèo đang xoa mặt em bé.,Một con mèo đang xoa người một em bé.,3.8
82,2012test,Một phụ nữ đang viết.,Một người phụ nữ đang bơi.,0.5
83,2012test,Gấu Bắc Cực đang trượt trên tuyết.,Một con gấu Bắc Cực đang trượt trên tuyết.,5.0
84,2012test,Một con chó đang cố gắng để lấy thịt lợn muối ra khỏi lưng.,Một con chó đang cố ăn thịt xông khói trên lưng.,3.75
85,2012test,Một người đàn ông đang chạy trên đường.,Một con chó gấu trúc đang chạy trên đường.,1.667
86,2012test,Một người đang gấp một tờ giấy.,Ai đó đang gấp giấy.,4.667
87,2012test,Một người đàn ông đang thổi sáo.,Một người đàn ông đang thổi sáo tre.,3.867
88,2012test,Một người phụ nữ bế một con kangaroo con lên.,Một người phụ nữ bế một con kangaroo con trên tay.,4.6
89,2012test,Người đàn ông đánh người đàn ông kia bằng một cây gậy.,Người đàn ông đánh người đàn ông kia bằng một cây gậy.,4.2
90,2012test,Một người đang ném một con mèo lên trần nhà.,Một người ném con mèo lên trần nhà.,5.0
91,2012test,Một người đàn ông đang chơi guitar và hát.,Một người phụ nữ đang chơi guitar acoustic và hát.,2.2
92,2012test,Người đàn ông đang chơi piano.,Người đàn ông đang chơi guitar.,1.6
93,2012test,Một người đàn ông đang hút thuốc.,Một người đàn ông đang trượt ván.,0.5
94,2012test,Một số người đang chiến đấu.,Hai người đang đánh nhau.,4.25
95,2012test,Một người đàn ông đang chơi cello.,Một người đàn ông đang ngồi chơi cello.,4.25
96,2012test,Ba người đàn ông đang chơi cờ.,Hai người đàn ông đang chơi cờ.,2.6
97,2012test,Một người đàn ông đang phết phô mai bào sợi lên bánh pizza.,Một người đàn ông đang phết phô mai bào sợi lên một chiếc pizza chưa nấu chín.,3.8
98,2012test,Một người đàn ông đang thổi một cây sáo lớn.,Một người đàn ông đang thổi sáo.,3.8
99,2012test,Một chiếc máy bay đang cất cánh.,Một máy bay đang cất cánh.,5.0
100,2012test,Người đó đang cưỡi ngựa.,Một người đang cưỡi ngựa.,3.8
101,2012test,Một đàn hươu đang băng qua đường.,Một đàn tuần lộc đang băng qua đường.,3.0
102,2012test,Một người phụ nữ cắt đậu phụ.,Một người phụ nữ đang cắt đậu phụ.,5.0
103,2012test,Người đàn ông dùng trực thăng để xắt hành tây.,Người đàn ông đã sử dụng một cái máy để cắt một củ khoai tây.,2.0
104,2012test,Hai con chó bơi trong một bể bơi.,Chó đang bơi trong hồ.,4.2
105,2012test,Một con mèo đang chơi đàn phím.,Một con mèo đang chơi đàn piano.,3.0
106,2012test,Một quả bóng xanh lớn đánh ngã khoai tây.,Một quả bóng xanh lớn đập vào khoai tây.,4.0
107,2012test,Một người đàn ông đang vào trong xe.,Một cụ già đang lên một chiếc xe hơi màu đỏ.,3.75
108,2012test,Một phụ nữ đang tập tạ.,Một người phụ nữ đang làm tóc.,0.5
109,2012test,Một bé gái đang giao tiếp bằng ngôn ngữ ký hiệu.,Một cô gái trẻ đang sử dụng ngôn ngữ ký hiệu.,3.941
110,2012test,Một cô gái đang hát và chơi guitar.,Một thanh niên đang hát trong khi chơi guitar.,2.4
111,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông đang lau cửa kính.,0.4
112,2012test,Một người đàn ông và một người phụ nữ nói chuyện trong một quán ăn.,Một người đàn ông và một người phụ nữ đang đi xe đạp.,1.2
113,2012test,Một con đười ươi đang đi xe buýt.,Một con khỉ đang đi xe buýt.,3.6
114,2012test,Người đàn ông đang ăn pizza.,Một người đàn ông đang ăn một miếng pizza.,4.8
115,2012test,Một con báo đang chạy.,Một con báo đang chạy băng qua cánh đồng.,3.8
116,2012test,Một cậu bé cầm cây guitar.,Một cậu bé đang chơi guitar.,2.75
117,2012test,Một người phụ nữ đang thêm dầu vào cá.,Một người phụ nữ đang đổ nước lên cá.,2.25
118,2012test,Một người phụ nữ đang thêm gia vị vào thịt.,Một phụ nữ đang thêm đường vào thịt.,2.75
119,2012test,Người phụ nữ đang lăn bột.,Một người phụ nữ đang phát triển và cuộn bột.,3.765
120,2012test,Một người đàn ông đang chạy trốn.,Một người đàn ông đang chạy trên đường.,3.5
121,2012test,Một người đang viết.,Một người đang viết bằng bút chì.,3.6
122,2012test,Những con mèo đang chơi đùa với nhau.,Hai con mèo đang đánh nhau.,2.6
123,2012test,Ba người phụ nữ đang nhảy múa.,Người đàn ông đang nhảy múa.,1.6
124,2012test,Một người đàn ông đang gấp giấy.,Một người phụ nữ đang thái tiêu.,0.6
125,2012test,Một người đàn ông đang chơi guitar.,Một cậu bé đang chơi piano.,1.2
126,2012test,Một đứa bé đang cười.,Một đứa bé đang cười khúc khích.,4.0
127,2012test,Hai chú gấu trúc con đang chơi đùa.,Hai con gấu trúc đang nằm cạnh nhau.,3.0
128,2012test,Một người phụ nữ đang thổi sáo trên sân khấu.,Người phụ nữ đang thổi sáo.,3.6
129,2012test,Các bác sĩ vận chuyển một bệnh nhân trên cáng.,Một bác sĩ đẩy một bệnh nhân lên cáng.,3.4
130,2012test,Một người phụ nữ đang ngồi ở bàn làm việc.,Một người phụ nữ đang cưỡi lừa.,0.4
131,2012test,Một người đàn ông đang bỏ chảo vào lò nướng.,Một người phụ nữ đang cắt hành tây.,0.6
132,2012test,Một người phụ nữ đang cho một người đàn ông ăn.,Một người phụ nữ đang trộn thịt.,1.0
133,2012test,Một người đàn ông đang nhảy múa bên ngoài.,Một người đàn ông đang thổi sáo.,1.0
134,2012test,Một nhóm người nhảy múa trên đồi.,Một nhóm người đang nhảy múa.,3.2
135,2012test,Một người đang luộc mì.,Một người phụ nữ đang luộc mì trong nước.,4.0
136,2012test,Người đàn ông phết bơ lên ổ bánh mì.,Một người đàn ông đang phết bơ lên bánh mì.,4.0
137,2012test,Một người đàn ông đang thổi sáo trong một ban nhạc.,Một người đàn ông đang chơi guitar.,1.6
138,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông đang đâm vào mục tiêu.,1.2
139,2012test,Một người đang lướt trên một con sóng lớn.,Một người đang lướt sóng.,3.6
140,2012test,Hai người phụ nữ trộn một thứ gì đó trong máy xay thực phẩm.,Hai người phụ nữ xay một thứ gì đó.,4.0
141,2012test,Cá bơi rất giỏi.,Một con cá đang bơi.,4.133
142,2012test,Người phụ nữ nhặt con kangaroo lên.,Một người phụ nữ nhặt một con kangaroo con lên.,3.75
143,2012test,Một người đàn ông và một người phụ nữ đang đi cùng nhau qua những cánh rừng.,Một người đàn ông và một phụ nữ đang đi tay trong tay qua một khu rừng.,4.0
144,2012test,Một người đàn ông đang chèo một chiếc ca nô.,Một người đàn ông đang chơi đàn hạc.,0.667
145,2012test,Một người đang cắt một thứ gì đó.,Một người đang cắt bánh mì.,3.0
146,2012test,Một người đổ dầu lên vài con mèo.,Người đàn ông đổ dầu lên cà chua cắt lát.,3.8
147,2012test,Hai người đàn ông đang đóng gói hành lý vào cốp xe.,Những người đàn ông đang đặt hành lý vào cốp xe.,4.4
148,2012test,Một người đàn ông đang cắt con cá.,Một người đàn ông moi ruột một con cá.,3.0
149,2012test,Một người phụ nữ đập hai quả trứng vào một cái bát thuỷ tinh.,Một người phụ nữ đang đập trứng vào bát.,3.8
150,2012test,Một người đàn ông thổi sáo.,Một người đàn ông đang thổi sáo.,5.0
151,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông ngồi trong phòng đang chơi guitar.,4.0
152,2012test,Một người đàn ông đang đi chậm rãi qua một cây cầu dây.,Một cậu bé đang đi bộ qua cầu.,3.0
153,2012test,Một con vật chạy vòng tròn.,Một con sóc chạy vòng tròn.,3.8
154,2012test,Một người phụ nữ đang chẻ tỏi.,Người phụ nữ đang xắt tỏi.,4.8
155,2012test,Một người đàn ông cắt potatos.,Một người đàn ông cắt khoai tây.,4.8
156,2012test,Một người đàn ông đang chèo thuyền.,Một người đang cắt cà chua.,0.4
157,2012test,Một con chó liếm nước dãi của một đứa bé.,Một con chó liếm một đứa bé.,2.2
158,2012test,Một người phụ nữ đang nhảy múa.,Một người đàn ông đang nói chuyện.,0.0
159,2012test,Có người đang thái rau quả.,Ai đó đang cắt cà chua.,3.0
160,2012test,Một người phụ nữ đang đi xe máy xuống đường.,Một người đàn ông đang lái một chiếc scooter.,2.2
161,2012test,Hắn đã dùng dao cắt thảm.,Một người đàn ông đang cắt thảm bằng dao.,4.75
162,2012test,Một con mèo đang chơi đàn piano.,Một người đàn ông đang chơi guitar.,0.6
163,2012test,Một con kangroo đang ăn gì đó.,Một con kangaroo đang ăn.,4.8
164,2012test,Con chó con chơi với một quả bóng tennis màu xanh.,Một chú cún đang chơi với quả bóng tennis.,4.0
165,2012test,Hai người phụ nữ đang đấu vật.,Hai người phụ nữ đang vật lộn trên sàn nhà.,4.0
166,2012test,Người đàn ông không mặc áo ngồi trên ghế.,Một người đàn ông cởi trần đang ngồi trên ghế.,3.8
167,2012test,Một người đàn ông và một người phụ nữ đang lái xe jeep xuống phố.,Một người đàn ông và một phụ nữ đang lái xe trên đường trong một chiếc xe ngoài trời.,4.0
168,2012test,Một người đàn ông đang nâng một chiếc xe.,Một người đàn ông đang leo lên tường.,1.4
169,2012test,Một người đàn ông đang leo dây.,Một người đàn ông leo lên dây thừng.,5.0
170,2012test,Một người phụ nữ đang chọn một lon.,Một người phụ nữ đang thái cà chua.,1.0
171,2012test,Một người phụ nữ chơi guitar.,Một người đàn ông hát và chơi guitar.,1.75
172,2012test,Một cậu bé đang chơi một nhạc cụ.,Một người đàn ông đang chơi kèn trumpet.,2.5
173,2012test,Một con chó đang nhảy trên đệm lò xo.,Một con chó nhảy lên tấm đệm lò xo.,4.8
174,2012test,Mọi người xuống tàu.,Mọi người xuống tàu ở ga.,4.0
175,2012test,Một con khỉ đang vung tay múa chân.,Một con khỉ đang đu từ cây này sang cây khác.,3.4
176,2012test,Một người đàn ông đang quay cuồng.,Một người đàn ông đang nhảy múa.,1.6
177,2012test,Một người đàn ông đang thổi sáo.,Một người đàn ông đang chơi piano.,1.6
178,2012test,Một người đàn ông đang chơi piano.,Một người đàn ông đang thổi sáo.,2.0
179,2012test,Một người phụ nữ đang nhảy múa.,Một người đàn ông đang ăn.,0.143
180,2012test,Một người đàn ông đang đi xe đạp.,Một người đang cưỡi ngựa.,2.0
181,2012test,Một người đang cưỡi ngựa.,Một người đàn ông đang nói chuyện điện thoại.,1.0
182,2012test,Một người đàn ông đang chạy trên đường.,Một chiếc xe đang chạy trên đường.,1.0
183,2012test,Một người phụ nữ đang lật bánh.,Một đầu bếp hoạt hình đang lật bánh kếp.,2.533
184,2012test,Một phụ nữ đang sử dụng máy may.,Một người phụ nữ đang may trên máy.,5.0
185,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông chơi guitar.,4.857
186,2012test,Một người phụ nữ đang cắt hành tây.,Một người phụ nữ đang xắt hành tây.,4.8
187,2012test,Một cậu bé đang kiểm tra một calender.,Một cậu bé đang nhìn vào một tờ lịch.,3.8
188,2012test,Một người phụ nữ đang thổi sáo.,Một người phụ nữ thổi sáo.,4.6
189,2012test,Một người đàn ông đang chơi piano.,Một người đang chơi đàn piano.,4.4
190,2012test,Lionel Richie đang nhảy múa trên trần nhà.,Lionel Ritchie nhảy khi đang đứng trên trần nhà.,4.0
191,2012test,Ai đó đang luộc mỳ trong nước.,Một người phụ nữ đang luộc mì trong nước.,3.2
192,2012test,Người phụ nữ đã xắt hành lá.,Người phụ nữ cắt một củ hành lá.,4.8
193,2012test,Một người đàn ông đang chơi đàn trên bàn phím của mình.,Một người đàn ông đang chơi đàn piano phím.,4.0
194,2012test,Một người phụ nữ đang thái lát thịt.,Một phụ nữ đang nướng thịt.,2.25
195,2012test,Một người đàn ông đang chơi đàn piano.,Người đàn ông đang chơi violin.,1.75
196,2012test,Người đàn ông đang chơi guitar.,Một người đàn ông đang thổi sáo.,1.643
197,2012test,Người đàn ông cắt một cái đĩa giấy.,Một người đàn ông đang cắt một cái đĩa giấy.,4.8
198,2012test,Một người phụ nữ đang cắt tỏi tây.,Một phụ nữ đang thái gừng.,2.2
199,2012test,Một người đàn ông đang chơi guitar.,Someoen đang chơi guitar.,3.6
200,2012test,Một chú cún đang trượt ngược trên sàn nhà.,Một chú cún đang đẩy lùi.,3.8
201,2012test,Một người phụ nữ cưỡi voi trước đám đông hâm mộ.,Một người phụ nữ cưỡi voi.,3.0
202,2012test,Một người phụ nữ đang cắt dưa chuột.,Một người đàn ông đang chơi guitar.,0.0
203,2012test,Một người phụ nữ đang cắt thịt gà.,Một người phụ nữ đang thái thịt.,2.75
204,2012test,Một chiếc trực thăng đang hạ cánh trên sân bay trực thăng.,Một chiếc trực thăng đáp xuống.,3.923
205,2012test,Một cô gái đang chơi vĩ cầm.,Một đứa bé đang cười khúc khích.,0.25
206,2012test,Một người phụ nữ đang trượt nước trên hồ.,Một người đàn ông đang thổi sáo.,0.0
207,2012test,Một con lửng đang đào một cái hố.,Một con lửng đang đào đất.,4.6
208,2012test,Một phụ nữ đang thái lát rau củ.,Người phụ nữ đang xắt tỏi.,2.8
209,2012test,Ai đó khoan một lỗ trên một thanh gỗ bằng máy khoan điện.,Một người đàn ông khoan một lỗ trên một miếng gỗ.,3.2
210,2012test,Một con chó ngồi ở quầy một cửa hàng.,Con chó đang đứng ở quầy.,2.6
211,2012test,Những con voi phun nước lên mình.,Voi tự phun nước vào mình.,3.6
212,2012test,Một số đàn ông chơi guitar.,Ba người đàn ông đang chơi guitar và hát cùng nhau.,3.2
213,2012test,Một phụ nữ đang thái bơ.,Một người phụ nữ cắt đậu phụ.,1.8
214,2012test,Hai con ngựa vằn đang chơi.,Zebras đang giao tiếp xã hội.,4.25
215,2012test,Người phụ nữ đang lột vỏ tôm.,Người đàn ông đang cầm một con vượn cáo.,0.0
216,2012test,Một con tinh tinh đang làm đau một người phụ nữ.,Một người đàn ông đang lái xe.,0.0
217,2012test,Một người đang chiên thịt trong chảo.,Một người đang ôm một con chồn hôi.,0.75
218,2012test,Một người đang gấp một mảnh giấy vuông.,Một người đàn ông đang gấp giấy.,3.25
219,2012test,Một người đàn ông cầm một con vật nhỏ trong một tay.,Một người đàn ông khoe một con khỉ nhỏ.,1.75
220,2012test,Một người phụ nữ đang cưỡi ngựa trên bãi biển.,Một người đang vác một người khác trên lưng.,0.4
221,2012test,Một người đàn ông đang đu dây trên trần nhà.,Một người đàn ông đang đu trên dây.,3.4
222,2012test,Một người đàn ông đang chèo thuyền.,Một người đàn ông đang bắn súng.,0.85
223,2012test,Một người đàn ông đang nhảy múa.,Một người đang cưỡi ngựa.,0.8
224,2012test,Một phụ nữ đang tắm.,Một người đàn ông đang cưỡi một con ngựa trắng.,0.0
225,2012test,Một người đàn ông đang trượt ván.,Một người phụ nữ đang cắt khoai tây.,0.0
226,2012test,Một người phụ nữ đang mài móng tay bằng một miếng giũa móng.,Một người phụ nữ đang cho con bú bằng bình sữa.,0.5
227,2012test,Một người đàn ông đang nghiền tỏi bằng mặt sau của một con dao.,Một người phụ nữ đang cắt thịt bằng dao.,1.5
228,2012test,Người đàn ông đang bắn súng trường tự động.,Một người đàn ông đang bắn súng.,3.8
229,2012test,Một người đang cắt một ít pho mát burrata.,Người này đang thái phô mai.,3.8
230,2012test,Một người đàn ông cưỡi ngựa trong phim quay chậm.,Một người đang cưỡi ngựa.,3.4
231,2012test,Một người đàn ông lớn tuổi đang phát biểu trên bục.,Một người đàn ông đang phát biểu trên bục.,3.5
232,2012test,Một người đang đi trên con đường xuyên qua hoang dã.,Một người đàn ông đang đi trên đường.,2.5
233,2012test,Một đứa trẻ chạy trốn một con cá đang đung đưa trên một cái cần câu.,Một đứa trẻ đang chạy quanh một cây câu cá.,2.5
234,2012test,Một con chó đang sủa vào buổi khiêu vũ.,Một con chó bơi theo quả bóng tennis.,1.5
235,2012test,Một người đang cắt khoai tây.,Một người phụ nữ đang cắt ớt jalepeno.,1.4
236,2012test,Một người đàn ông đi xuống một con đường.,Một người đàn ông bước qua một sợi dây thừng.,0.8
237,2012test,Một người đang cưỡi ngựa.,Một người phụ nữ đang rửa tủ lạnh.,0.0
238,2012test,Một người phụ nữ đang làm suy yếu tôm.,Một người đàn ông đang nhảy múa trong mưa.,0.0
239,2012test,Một con ngựa đen đang chạy vòng vòng.,Con ngựa đang chạy.,4.2
240,2012test,Một người đàn ông bắn vào một chiếc xe.,Một người đàn ông đang cắt khoai tây.,0.4
241,2012test,Một con sư tử đang đi.,Một con sư tử đang đi lại trong chuồng.,2.4
242,2012test,Ba cô gái tuổi teen nhảy múa trong phòng.,Một số cô gái tuổi teen đang nhảy múa trước ống kính.,2.4
243,2012test,Một người đàn ông đang cắt cà chua thành từng miếng.,Một người phụ nữ đang cắt rau.,1.8
244,2012test,Một người đàn ông đang bơ một miếng bánh mì.,Một người đàn ông đang bôi bơ lên bánh mì.,5.0
245,2012test,Một con chó đang tìm kiếm một hồ bơi.,Một con chó đang đi dạo quanh hồ bơi.,2.0
246,2012test,Một người phụ nữ đang may trên máy.,Một phụ nữ đang nướng thịt.,0.6
247,2012test,Người ta nhảy khỏi tàu hoả.,Một nhóm người xuống tàu.,4.6
248,2012test,Một cô gái đang thổi sáo.,Một ban nhạc đang chơi trên sân khấu.,1.286
249,2012test,Một người đàn ông đang đi trên dây.,Một người đang cưỡi trên một con mo-pad.,0.4
250,2012test,Một người đang cưỡi ngựa.,Một người đàn ông đang chơi đàn.,0.2
251,2012test,Người đàn ông chơi guitar.,Một người đàn ông đang chơi guitar.,3.75
252,2012test,Thằng bé đang chơi đàn piano.,Một cậu bé chơi piano.,5.0
253,2012test,Một người đàn ông cho ít pho mát lên bánh pizza.,Người đàn ông rắc pho mát lên bánh pizza.,5.0
254,2012test,Một chiếc xe lùi ra khỏi một khoảng trống.,Một chiếc xe đang lùi ra khỏi làn đường bị chặn.,3.0
255,2012test,Một người đàn ông lái xe của mình.,Một người đàn ông đang lái xe.,4.25
256,2012test,Người đàn ông đang lái một chiếc xe màu trắng.,Một người đàn ông đang trả lời phỏng vấn.,0.4
257,2012test,Một người phụ nữ đang chơi trò chơi với một người đàn ông.,Một người đàn ông đang chơi piano.,0.6
258,2012test,Ba chàng trai đang nhảy múa.,Bọn trẻ đang nhảy múa.,3.111
259,2012test,Bơ đang chảy trong chảo.,Một người đang tan chảy bơ trong chảo.,3.6
260,2012test,Người đàn ông đang xẻ thịt một con cá.,Một người đang cắt khoai tây.,2.2
261,2012test,Một người phụ nữ đang nhảy múa bên đống lửa.,Một phụ nữ đang tắm.,1.4
262,2012test,Một con mèo đang liếm một con mồi.,Một phụ nữ đang thái dưa chuột.,0.0
263,2012test,Một người phụ nữ đang chiên cái gì đó.,Một người phụ nữ đang cưỡi ngựa.,0.6
264,2012test,Một người đàn ông đang đá bóng.,Một người đàn ông đang trộn bát.,0.6
265,2012test,Các vận động viên chạy quanh một đường đua.,Các vận động viên chạy đua tranh tài trong một cuộc đua.,3.2
266,2012test,Một người đàn ông đang nhảy qua tường.,Một người đàn ông nhảy lên một bức tường ngắn.,3.2
267,2012test,Một người đàn ông đang bán hàng.,Một người đàn ông đang lau dọn nhà cửa.,0.8
268,2012test,Một người đàn ông đang rửa miếng thịt.,Một người đàn ông đang chơi guitar.,0.6
269,2012test,Một người phụ nữ đang cắt thịt thành từng miếng.,Một người phụ nữ đang cắt thịt.,4.8
270,2012test,Một người phụ nữ đang uống vodka.,Một phụ nữ đang tập thể dục.,0.4
271,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông đang chảy hết pasta.,0.4
272,2012test,Có người đang bôi dầu lên chảo.,Sméone đang nằm xuống.,0.4
273,2012test,Một chiếc xe đang đi trên đường.,Một chiếc xe đang chạy trên đường.,4.0
274,2012test,Một người phụ nữ đang đập trứng vào bát.,Một người phụ nữ đang đặt xiên lên giá.,0.6
275,2012test,Một người phụ nữ đang nhảy múa.,Một người phụ nữ đang nhào bột.,0.4
